Mes-Ano," Línea de Pobreza Extrema Rural por Ingresos
(Canasta alimentaria) "," Línea de Pobreza Extrema Urbana por Ingresos
(Canasta alimentaria) ","Línea de Pobreza Rural por Ingresos
(Canasta alimentaria más no alimentaria)","Línea de Pobreza Urbana por Ingresos
(Canasta alimentaria más no alimentaria)"
ago-15,$990.65,"$1,311.29","$1,975.67","$2,866.33"
sep-15,$997.79,"$1,319.44","$1,988.77","$2,882.02"
oct-15,"$1,000.52","$1,323.44","$2,002.29","$2,901.19"
nov-15,"$1,000.61","$1,324.95","$2,016.42","$2,912.58"
dic-15,"$1,017.03","$1,341.26","$2,032.81","$2,923.29"
ene-16,"$1,034.91","$1,361.27","$2,050.84","$2,942.11"
feb-16,"$1,043.98","$1,371.40","$2,063.49","$2,955.61"
mar-16,"$1,040.96","$1,368.13","$2,060.90","$2,952.05"
abr-16,"$1,036.83","$1,365.67","$2,049.55","$2,933.78"
may-16,"$1,029.74","$1,360.75","$2,028.00","$2,899.87"
jun-16,"$1,018.70","$1,350.92","$2,018.55","$2,889.46"
jul-16,"$1,015.44","$1,348.81","$2,019.01","$2,893.10"
ago-16,"$1,018.43","$1,351.24","$2,030.14","$2,903.91"
sep-16,"$1,043.65","$1,375.79","$2,061.59","$2,934.54"
oct-16,"$1,046.15","$1,378.54","$2,076.30","$2,957.38"
nov-16,"$1,052.21","$1,385.68","$2,098.01","$2,990.95"
dic-16,"$1,063.71","$1,400.83","$2,111.76","$3,008.28"
ene-17,"$1,061.81","$1,404.52","$2,139.38","$3,073.55"
feb-17,"$1,055.86","$1,401.71","$2,141.02","$3,083.68"
mar-17,"$1,067.37","$1,414.80","$2,157.01","$3,100.09"
abr-17,"$1,080.81","$1,428.69","$2,164.66","$3,098.49"
may-17,"$1,090.90","$1,438.96","$2,166.71","$3,088.13"
jun-17,"$1,099.98","$1,449.85","$2,176.45","$3,099.36"
jul-17,"$1,120.08","$1,471.60","$2,196.04","$3,118.12"
ago-17,"$1,141.94","$1,495.99","$2,223.06","$3,151.61"
sep-17,"$1,146.75","$1,504.81","$2,234.97","$3,169.82"
oct-17,"$1,130.92","$1,491.07","$2,234.15","$3,191.54"
nov-17,"$1,138.99","$1,498.97","$2,261.43","$3,234.78"
dic-17,"$1,153.50","$1,513.63","$2,281.03","$3,256.87"
ene-18,"$1,151.09","$1,514.91","$2,287.83","$3,275.19"
feb-18,"$1,135.16","$1,500.89","$2,281.72","$3,275.60"
mar-18,"$1,148.31","$1,514.18","$2,299.52","$3,293.27"
